subtitle,title,title_url,lead
"
                                                                        ",,https://www.eghtesadnews.com,
"
                    بررسی روند ورود و خروج ماهانه پول در بازار سهام؛                ","
                            کارنامه ورود و خروج نقدینگی بورس در دی ماه                         ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-38/470284-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%88%D8%B1%D9%88%D8%AF-%D8%AE%D8%B1%D9%88%D8%AC-%D9%86%D9%82%D8%AF%DB%8C%D9%86%DA%AF%DB%8C-%D8%A8%D9%88%D8%B1%D8%B3-%D8%AF%D8%B1-%D8%AF%DB%8C-%D9%85%D8%A7%D9%87,"
                        اقتصادنیوز: در ۲۱ روز معاملاتی دی ماه تنها در یک روز شاهد ورود پول حقیقی به بازار بودیم و در ۲۰ روز کاری دیگر نیز…                    "
"
                    معافیت مالیاتی برای ارزهای دیجیتالی!                ","
                            شناسایی عامل هجوم میلیونر‌های آمریکایی به پورتوریکو                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/469854-%D8%B4%D9%86%D8%A7%D8%B3%D8%A7%DB%8C%DB%8C-%D8%B9%D8%A7%D9%85%D9%84-%D9%87%D8%AC%D9%88%D9%85-%D9%85%DB%8C%D9%84%DB%8C%D9%88%D9%86%D8%B1-%D9%87%D8%A7%DB%8C-%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7%DB%8C%DB%8C-%D8%A8%D9%87-%D9%BE%D9%88%D8%B1%D8%AA%D9%88%D8%B1%DB%8C%DA%A9%D9%88,"
                        اقتصادنیوز: بسیاری از سرمایه‌گذاران بزرگ بیت کوین برای فرار مالیاتی، این روزها به سوی پورتوریکو روانه شده‌اند.                    "
"
                    رئیس پنهان سازمان برنامه و بودجه نبودم                ","
                            فرهاد دژپسند؛ از برکناری توسط احمدی نژاد تا حکم وزارت از سوی روحانی                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/468200-%D9%81%D8%B1%D9%87%D8%A7%D8%AF-%D8%AF%DA%98%D9%BE%D8%B3%D9%86%D8%AF-%D8%A7%D8%B2-%D8%A8%D8%B1%DA%A9%D9%86%D8%A7%D8%B1%DB%8C-%D8%AA%D9%88%D8%B3%D8%B7-%D8%A7%D8%AD%D9%85%D8%AF%DB%8C-%D9%86%DA%98%D8%A7%D8%AF-%D8%AA%D8%A7-%D8%AD%DA%A9%D9%85-%D9%88%D8%B2%D8%A7%D8%B1%D8%AA-%D8%A7%D8%B2-%D8%B3%D9%88%DB%8C-%D8%B1%D9%88%D8%AD%D8%A7%D9%86%DB%8C,"
                        اقتصادنیوز: فرهاد دژپسند می گوید: احمدی نژاد قائل به این بود که سازمان برنامه به جای اینکه موتور رشد باشد مزاحم رشد…                    "
"
                    نمادهای پُرمعامله بازار سهام؛                ","
                            افت معاملات خُرد بورس در هفته آخر دی ماه ۱۴۰۰                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-38/470274-%D8%A7%D9%81%D8%AA-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D8%B1%D8%AF-%D8%A8%D9%88%D8%B1%D8%B3-%D8%AF%D8%B1-%D9%87%D9%81%D8%AA%D9%87-%D8%A2%D8%AE%D8%B1-%D8%AF%DB%8C-%D9%85%D8%A7%D9%87,"
                        اقتصادنیوز: در آخرین هفته معاملاتی دی ماه ۱۴۰۰، میانگین ارزش معاملات کل بازار سهام افت ۴ درصدی داشت و ارزش معاملات خرد…                    "
"
                    نیم‌قرن با اقتصاد ایران، اول بهمن                ","
                            آماده باش سیستم بانکی برای فاز جدید هدفمندی یارانه‌ها                        ",https://www.eghtesadnews.com/بخش-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B2%D9%85%D8%A7%D9%86-111/470507-%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%A8%D8%A7%D8%B4-%D8%B3%DB%8C%D8%B3%D8%AA%D9%85-%D8%A8%D8%A7%D9%86%DA%A9%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%81%D8%A7%D8%B2-%D8%AC%D8%AF%DB%8C%D8%AF-%D9%87%D8%AF%D9%81%D9%85%D9%86%D8%AF%DB%8C-%DB%8C%D8%A7%D8%B1%D8%A7%D9%86%D9%87-%D9%87%D8%A7,"
                        اقتصادنیوز : مهم‌ترین سرتیترهای صفحه‌های اقتصادی مطبوعات اول بهمن در ابتدای هر دهه در نیم قرن گذشته از این قرار بوده اس…                    "
,"
                            صعود ۲۵۰۰ دلاری قیمت بیت‌کوین در ۲۴ساعت گذشته                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B7%D9%84%D8%A7-%D8%A7%D8%B1%D8%B2-40/470493-%D8%B5%D8%B9%D9%88%D8%AF-%D8%AF%D9%84%D8%A7%D8%B1%DB%8C-%D9%82%DB%8C%D9%85%D8%AA-%D8%A8%DB%8C%D8%AA-%DA%A9%D9%88%DB%8C%D9%86-%D8%AF%D8%B1-%D8%B3%D8%A7%D8%B9%D8%AA-%DA%AF%D8%B0%D8%B4%D8%AA%D9%87,
,"
                            بازی پیچیده پوتین در مذاکرات وین و بحران اوکراین                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-57/470421-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%BE%DB%8C%DA%86%DB%8C%D8%AF%D9%87-%D9%BE%D9%88%D8%AA%DB%8C%D9%86-%D8%AF%D8%B1-%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D8%A7%D8%AA-%D9%88%DB%8C%D9%86-%D8%A8%D8%AD%D8%B1%D8%A7%D9%86-%D8%A7%D9%88%DA%A9%D8%B1%D8%A7%DB%8C%D9%86,
,"
                            رمزگشایی از ریزش قیمت بیت کوین                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B7%D9%84%D8%A7-%D8%A7%D8%B1%D8%B2-40/470407-%D8%B1%D9%85%D8%B2%DA%AF%D8%B4%D8%A7%DB%8C%DB%8C-%D8%A7%D8%B2-%D8%B1%DB%8C%D8%B2%D8%B4-%D9%82%DB%8C%D9%85%D8%AA-%D8%A8%DB%8C%D8%AA-%DA%A9%D9%88%DB%8C%D9%86,
,"
                            ۲۰ روز فرار سرمایه از بورس +نمودار                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-38/470270-%D8%B1%D9%88%D8%B2-%D9%81%D8%B1%D8%A7%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%D8%A7%D8%B2-%D8%A8%D9%88%D8%B1%D8%B3-%D9%86%D9%85%D9%88%D8%AF%D8%A7%D8%B1,
,"
                            خبر مهم صالح آبادی درباره ناظر شرعی برای بانک ها                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470445-%D8%AE%D8%A8%D8%B1-%D9%85%D9%87%D9%85-%D8%B5%D8%A7%D9%84%D8%AD-%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C-%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1%D9%87-%D9%86%D8%A7%D8%B8%D8%B1-%D8%B4%D8%B1%D8%B9%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A8%D8%A7%D9%86%DA%A9-%D9%87%D8%A7,
,"
                             خودروسازان زیر تیغ /ایران خودرو و سایپا تهدید شدند                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470439-%D8%AE%D9%88%D8%AF%D8%B1%D9%88%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%B2%DB%8C%D8%B1-%D8%AA%DB%8C%D8%BA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%B3%D8%A7%DB%8C%D9%BE%D8%A7-%D8%AA%D9%87%D8%AF%DB%8C%D8%AF-%D8%B4%D8%AF%D9%86%D8%AF,
,"
                            صعود ۲۵۰۰ دلاری قیمت بیت‌کوین در ۲۴ساعت گذشته                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B7%D9%84%D8%A7-%D8%A7%D8%B1%D8%B2-40/470493-%D8%B5%D8%B9%D9%88%D8%AF-%D8%AF%D9%84%D8%A7%D8%B1%DB%8C-%D9%82%DB%8C%D9%85%D8%AA-%D8%A8%DB%8C%D8%AA-%DA%A9%D9%88%DB%8C%D9%86-%D8%AF%D8%B1-%D8%B3%D8%A7%D8%B9%D8%AA-%DA%AF%D8%B0%D8%B4%D8%AA%D9%87,
,"
                            بازی پیچیده پوتین در مذاکرات وین و بحران اوکراین                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-57/470421-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%BE%DB%8C%DA%86%DB%8C%D8%AF%D9%87-%D9%BE%D9%88%D8%AA%DB%8C%D9%86-%D8%AF%D8%B1-%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D8%A7%D8%AA-%D9%88%DB%8C%D9%86-%D8%A8%D8%AD%D8%B1%D8%A7%D9%86-%D8%A7%D9%88%DA%A9%D8%B1%D8%A7%DB%8C%D9%86,
,"
                            رمزگشایی از ریزش قیمت بیت کوین                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B7%D9%84%D8%A7-%D8%A7%D8%B1%D8%B2-40/470407-%D8%B1%D9%85%D8%B2%DA%AF%D8%B4%D8%A7%DB%8C%DB%8C-%D8%A7%D8%B2-%D8%B1%DB%8C%D8%B2%D8%B4-%D9%82%DB%8C%D9%85%D8%AA-%D8%A8%DB%8C%D8%AA-%DA%A9%D9%88%DB%8C%D9%86,
,"
                            ۲۰ روز فرار سرمایه از بورس +نمودار                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-38/470270-%D8%B1%D9%88%D8%B2-%D9%81%D8%B1%D8%A7%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%D8%A7%D8%B2-%D8%A8%D9%88%D8%B1%D8%B3-%D9%86%D9%85%D9%88%D8%AF%D8%A7%D8%B1,
,"
                            خبر مهم صالح آبادی درباره ناظر شرعی برای بانک ها                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470445-%D8%AE%D8%A8%D8%B1-%D9%85%D9%87%D9%85-%D8%B5%D8%A7%D9%84%D8%AD-%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C-%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1%D9%87-%D9%86%D8%A7%D8%B8%D8%B1-%D8%B4%D8%B1%D8%B9%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A8%D8%A7%D9%86%DA%A9-%D9%87%D8%A7,
,"
                             خودروسازان زیر تیغ /ایران خودرو و سایپا تهدید شدند                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470439-%D8%AE%D9%88%D8%AF%D8%B1%D9%88%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%B2%DB%8C%D8%B1-%D8%AA%DB%8C%D8%BA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%B3%D8%A7%DB%8C%D9%BE%D8%A7-%D8%AA%D9%87%D8%AF%DB%8C%D8%AF-%D8%B4%D8%AF%D9%86%D8%AF,
"
                                                    ","
                                قیمت رهن و اجاره مسکن  در تهران                            ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470433-%D9%82%DB%8C%D9%85%D8%AA-%D8%B1%D9%87%D9%86-%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D9%85%D8%B3%DA%A9%D9%86-%D8%AF%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86,"
                                در این گزارش قیمت رهن و اجاره مسکن  در منطقه پونک تهران  گردآوری شده است.                             "
"
                                                    ","
                                مقایسه ۲ خودرو هوندا سیویک با تویوتا کرولا                            ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470376-%D9%85%D9%82%D8%A7%DB%8C%D8%B3%D9%87-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D9%87%D9%88%D9%86%D8%AF%D8%A7-%D8%B3%DB%8C%D9%88%DB%8C%DA%A9-%D8%A8%D8%A7-%D8%AA%D9%88%DB%8C%D9%88%D8%AA%D8%A7-%DA%A9%D8%B1%D9%88%D9%84%D8%A7,"
                                 برای سال ۲۰۲۰، قیمت هوندا سیویک با احتساب مقصد، ۲۱ هزار و ۶۰۵ دلار است که امکاناتی مانند سیستم Apple CarPlay و Android Auto را ارائه می دهد. قیمت مدل تورینگ ۲۸ هزار و ۹۵۵ دلار است که به خاطر اضافه کردن شارژر بی سیم موبایل ۳۰۰ دلار گران تر است.                            "
"
                                                    ","
                                شوک مذاکرات وین به قیمت موبایل؟                            ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470491-%D8%B4%D9%88%DA%A9-%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D8%A7%D8%AA-%D9%88%DB%8C%D9%86-%D8%A8%D9%87-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84,"
                                برخی از فعالان بازار معتقدند در صورت به نتیجه رسیدن مذاکرات وین، احتمال کاهش قیمت دلار وجود دارد و همین موضوع، قیمت‌ها در بازاز موبایل را کاهش خواهد کرد.                            "
,"
                خبر جدید محمد مخبر درباره ارزان شدن کالاها + فیلم              ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470446-%D8%AE%D8%A8%D8%B1-%D8%AC%D8%AF%DB%8C%D8%AF-%D9%85%D8%AD%D9%85%D8%AF-%D9%85%D8%AE%D8%A8%D8%B1-%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1%D9%87-%D8%A7%D8%B1%D8%B2%D8%A7%D9%86-%D8%B4%D8%AF%D9%86-%DA%A9%D8%A7%D9%84%D8%A7%D9%87%D8%A7-%D9%81%DB%8C%D9%84%D9%85,
,"
                احترام جالب نمایندگان روسیه به ابراهیم رئیسی+ فیلم              ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B3%D8%A7%DB%8C%D8%B1-%D8%B1%D8%B3%D8%A7%D9%86%D9%87-%D9%87%D8%A7-61/470410-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%85-%D8%AC%D8%A7%D9%84%D8%A8-%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%D8%A7%D9%86-%D8%B1%D9%88%D8%B3%DB%8C%D9%87-%D8%A8%D9%87-%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85-%D8%B1%D8%A6%DB%8C%D8%B3%DB%8C-%D9%81%DB%8C%D9%84%D9%85,
,"
                خبر مهم وزیر نفت از توافق بین ایران و روسیه+ فیلم              ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470393-%D8%AE%D8%A8%D8%B1-%D9%85%D9%87%D9%85-%D9%88%D8%B2%DB%8C%D8%B1-%D9%86%D9%81%D8%AA-%D8%A7%D8%B2-%D8%AA%D9%88%D8%A7%D9%81%D9%82-%D8%A8%DB%8C%D9%86-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%B1%D9%88%D8%B3%DB%8C%D9%87-%D9%81%DB%8C%D9%84%D9%85,
,"
                آرزوی رئیس جمهور روسیه برای رهبری+فیلم              ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-57/470290-%D8%A2%D8%B1%D8%B2%D9%88%DB%8C-%D8%B1%D8%A6%DB%8C%D8%B3-%D8%AC%D9%85%D9%87%D9%88%D8%B1-%D8%B1%D9%88%D8%B3%DB%8C%D9%87-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%B1%D9%87%D8%A8%D8%B1%DB%8C-%D9%81%DB%8C%D9%84%D9%85,
,"
                پرچمدارهای بازار موبایل به ایران نمی‌آیند؟+فیلم              ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470190-%D9%BE%D8%B1%DA%86%D9%85%D8%AF%D8%A7%D8%B1%D9%87%D8%A7%DB%8C-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%A8%D9%87-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%86%D9%85%DB%8C-%D8%A2%DB%8C%D9%86%D8%AF-%D9%81%DB%8C%D9%84%D9%85,
,"
                بدرقه رسمی رئیسی برای سفر به روسیه/ چه کسانی رئیس جمهور را همراهی می کنند؟+ فیلم              ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-57/470138-%D8%A8%D8%AF%D8%B1%D9%82%D9%87-%D8%B1%D8%B3%D9%85%DB%8C-%D8%B1%D8%A6%DB%8C%D8%B3%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%B3%D9%81%D8%B1-%D8%A8%D9%87-%D8%B1%D9%88%D8%B3%DB%8C%D9%87-%DA%86%D9%87-%DA%A9%D8%B3%D8%A7%D9%86%DB%8C-%D8%B1%D8%A6%DB%8C%D8%B3-%D8%AC%D9%85%D9%87%D9%88%D8%B1-%D8%B1%D8%A7-%D9%87%D9%85%D8%B1%D8%A7%D9%87%DB%8C-%D9%85%DB%8C-%DA%A9%D9%86%D9%86%D8%AF-%D9%81%DB%8C%D9%84%D9%85,
